split,kind,query,expected_title,expected_tmdb_id,before_rank,before_top1,after_rank,after_top1,rank_change
train,scene,"a space ranger teams up with a purple alien tinker, a robotic insect, and a green ranger to defend the galaxy from a horned emperor obsessed with destroying him",Buzz Lightyear of Star Command: The Adventure Begins (2000),16187,,Lightyear,,Lightyear,
train,scene,"a newly integrated high school football team bonds during a preseason retreat at a Civil War battlefield, with the coach forcing them to learn about brotherhood among the graves",Remember the Titans (2000),10637,1,Remember the Titans,1,Remember the Titans,0
train,premise,"a reformed fur-coat-obsessed villainess falls off the wagon after meeting a sleazy French furrier, and schemes again to get her hands on spotted puppies while on parole",102 Dalmatians (2000),10481,,101 Dalmatians,,101 Dalmatians,
train,scene,"an awkward teenage girl with unruly hair and glasses gets a dramatic makeover from her grandmother's assistant, emerging with straightened hair and contacts to reveal she's secretly royalty",The Princess Diaries (2001),9880,2,Turning Red,2,Turning Red,0
train,scene,a city dentist who inherits a team of unruly sled dogs in Alaska gets dragged uncontrollably through town the first time he tries to mush them,Snow Dogs (2002),11888,1,Snow Dogs,1,Snow Dogs,0
train,scene,a skeptical girl who doesn't believe in fairies is kidnapped by a hook-handed pirate captain and has to learn to believe in order to fly and save the day,Return to Never Land (2002),16690,,Peter Pan & Wendy,,Peter Pan & Wendy,
train,scene,an aging high school science teacher who once had a promising pitching arm tries out for major league scouts after promising his ragtag team he would if they made the playoffs,The Rookie (2002),14635,1,The Rookie,1,The Rookie,0
train,scene,"a young Jedi and a senator chained in a gladiator arena face down a rhino-like beast, a giant scorpion-lion, and a spider-like creature while a droid army surrounds the stands",Star Wars: Episode II - Attack of the Clones (2002),1894,1,Star Wars: Episode II - Attack of the Clones,1,Star Wars: Episode II - Attack of the Clones,0
train,scene,"a teenage girl discovers a boy drinking from a hidden spring in the woods and is kidnapped by his family, who explain that the water made them all immortal decades ago",Tuck Everlasting (2002),13768,2,The Secret of Lost Valley,1,Tuck Everlasting,1
train,scene,a teenage girl on a class trip to Rome is mistaken for an Italian pop star lookalike and has to expose the scheming manager during a live outdoor concert on the steps of a piazza,The Lizzie McGuire Movie (2003),18736,1,The Lizzie McGuire Movie,1,The Lizzie McGuire Movie,0
train,scene,a family gets trapped overnight in a haunted mansion where the ballroom is full of dancing ghosts and a fortune teller's disembodied head floats inside a crystal ball,The Haunted Mansion (2003),10756,1,The Haunted Mansion,1,The Haunted Mansion,0
train,scene,three dairy cows on a struggling farm try to catch a cattle rustler who hypnotizes livestock with his yodeling and steals them off their ranches,Home on the Range (2004),13700,1,Home on the Range,1,Home on the Range,0
train,scene,a physics-obsessed teenager uses equations and diagrams to analyze figure skating jumps and ends up training to land a quadruple jump against her mother's wishes,Ice Princess (2005),13374,1,Ice Princess,1,Ice Princess,0
train,scene,"a former Jedi with glowing yellow eyes duels his old master on the black rocky shore of a lava planet, ending with him losing his limbs and catching fire",Star Wars: Episode III - Revenge of the Sith (2005),1895,3,The Empire Strikes Back,2,The Empire Strikes Back,1
train,scene,a small-town poultry farmer's son who once wrongly cried that the sky was falling turns out to be right when an actual piece of an alien ship crashes into his backyard,Chicken Little (2005),9982,1,Chicken Little,1,Chicken Little,0
train,scene,"a golden lion allows himself to be shaved, bound, and sacrificed on a stone altar by a white witch in the snow to save a boy who betrayed his siblings, then rises again at dawn","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",411,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0
train,premise,"a suburban family's overworked father starts unpredictably turning into a huge sheepdog whenever he gets stressed, right as he's investigating a corrupt case at work",The Shaggy Dog (2006),10067,2,The Shaggy D.A.,2,The Shaggy D.A.,0
train,premise,"a lion raised in a New York zoo escapes to chase his cub, who was accidentally shipped to Africa in a crate, and treks across the savanna with a squirrel, a giraffe, and a snake",The Wild (2006),9904,1,The Wild,1,The Wild,0
train,scene,two rival swordsmen and a former navy officer end up dueling three ways on top of a giant spinning wooden water wheel that rolls off a cliff and down a jungle river,Pirates of the Caribbean: Dead Man's Chest (2006),58,5,Pirates of the Caribbean: At World's End,5,Pirates of the Caribbean: At World's End,0
train,scene,an out-of-shape bartender in his 30s tries out for an NFL team at an open camp and has to prove himself catching passes in front of a skeptical veteran coach,Invincible (2006),11652,1,Invincible,1,Invincible,0
train,scene,a motorcycle stuntman who sold his soul to a demonic figure transforms at night into a flaming skull-headed rider who can sense guilt and burns the truly wicked with a stare,Ghost Rider (2007),1250,1,Ghost Rider,1,Ghost Rider,0
train,scene,"a superhero wearing a black alien suit that amplifies his aggression struts arrogantly down the street and dances at a jazz club, showing off to impress women and enemies alike",Spider-Man 3 (2007),559,,Iron Man,,Iron Man,
train,scene,"a silver-skinned being riding a surfboard through the sky punches holes straight through the ground while heralding a planet-eating entity, and a team of heroes briefly swap powers to try to stop him",Fantastic Four: Rise of the Silver Surfer (2007),1979,2,The Fantastic 4: First Steps,2,The Fantastic 4: First Steps,0
train,scene,"an exiled prince blows an ancient horn to summon help from a group of siblings who once ruled his land in a golden age, then leads a failed nighttime raid on a castle",The Chronicles of Narnia: Prince Caspian (2008),2454,2,Prince of Persia: The Sands of Time,1,The Chronicles of Narnia: Prince Caspian,1
train,scene,"an aging adventurer survives a nuclear bomb test at a fake suburban town by climbing into a lead-lined refrigerator right before it detonates, getting thrown for miles",Indiana Jones and the Kingdom of the Crystal Skull (2008),217,,Flight of the Navigator,,Flight of the Navigator,
train,scene,"a scientist who turns into a giant green rage monster fights a hulking armored soldier through the streets of Harlem, smashing cars and buildings",The Incredible Hulk (2008),1724,1,The Incredible Hulk,1,The Incredible Hulk,0
train,scene,a high school basketball star belts out a frustrated solo song alone in an empty parking garage before deciding to follow his heart instead of his father's expectations,High School Musical 3: Senior Year (2008),11887,3,Chang Can Dunk,3,Chang Can Dunk,0
train,scene,"a hotel handyman's made-up bedtime stories for his niece and nephew start eerily coming true the next day, starting with a rain of gumballs after he mentions them offhand",Bedtime Stories (2008),10202,1,Bedtime Stories,1,Bedtime Stories,0
train,premise,a Las Vegas cab driver reluctantly helps two teenage siblings with telekinetic and telepathic powers evade government agents while they try to find their crashed spaceship,Race to Witch Mountain (2009),13836,1,Race to Witch Mountain,1,Race to Witch Mountain,0
train,scene,a young woman in armor slays a giant horned dragon with a glowing sword on a battlefield to end a tyrant queen's reign over a fantastical kingdom,Alice in Wonderland (2010),12155,,The Black Cauldron,,Snow White,
train,scene,a man searching for his missing father gets pulled inside a glowing digital world and is forced to compete in a gladiatorial light-cycle arena battle riding a neon motorcycle that leaves solid trails,TRON: Legacy (2010),20526,2,Indiana Jones and the Last Crusade,1,TRON: Legacy,1
train,scene,a pirate crew searching for the fountain of youth is ambushed at night on a beach by beautiful singing mermaids that turn vicious and try to drag sailors underwater,Pirates of the Caribbean: On Stranger Tides (2011),1865,1,Pirates of the Caribbean: On Stranger Tides,1,Pirates of the Caribbean: On Stranger Tides,0
train,scene,"a team of heroes including a soldier, a billionaire in armor, a god of thunder, and a giant green monster stand back to back in a circle on a city street as an alien army pours in from a portal in the sky",The Avengers (2012),24428,,The Invincible Iron Man,,Iron Man,
train,scene,"a couple who buried a wish in a box in their backyard find a strange child who has grown up overnight covered in leaves, and watch the leaves start falling off him one by one as autumn arrives",The Odd Life of Timothy Green (2012),71864,1,The Odd Life of Timothy Green,1,The Odd Life of Timothy Green,0
train,scene,"a con-artist carnival magician uses smoke, mirrors, and fireworks projected onto a giant floating illusion to fake being a terrifyingly powerful wizard and scare off a wicked witch",Oz the Great and Powerful (2013),68728,1,Oz the Great and Powerful,1,Oz the Great and Powerful,0
train,scene,a masked vigilante and his companion chase a gang of outlaws on top of two trains racing side by side while a classical overture with galloping horns plays,The Lone Ranger (2013),57201,1,The Lone Ranger,1,The Lone Ranger,0
train,scene,a dark elf seeking an ancient weapon of pure darkness fights a hero across multiple realities as portals randomly teleport the combatants between different worlds mid-battle,Thor: The Dark World (2013),76338,1,Thor: The Dark World,1,Thor: The Dark World,0
train,scene,"an uptight, prim author breaks down crying during the premiere of a film based on her book, finally connecting the story's umbrella-carrying nanny to memories of her own troubled father",Saving Mr. Banks (2013),140823,1,Saving Mr. Banks,1,Saving Mr. Banks,0
train,scene,"a criminal frog impersonates a famous puppet frontman using a fake mole on his cheek and swaps places with him, leaving the real one trapped in a Russian gulag",Muppets Most Wanted (2014),145220,1,Muppets Most Wanted,1,Muppets Most Wanted,0
train,premise,a struggling sports agent flies to India to run a pitching-speed contest hoping to discover the next great baseball prospects among cricket players who have never seen the sport,Million Dollar Arm (2014),198185,1,Million Dollar Arm,1,Million Dollar Arm,0
train,scene,a winged forest guardian is drugged by a man she trusted and wakes up to find her wings have been cruelly cut off and stolen while she slept,Maleficent (2014),102651,2,Snow White,1,Maleficent,1
train,scene,a disgraced football coach who takes a job at a poor farming town's high school helps a group of Latino students who work in the fields become a championship-winning cross country team,"McFarland, USA (2015)",228203,2,Remember the Titans,4,Remember the Titans,-2
train,scene,a teenage girl touches a mysterious pin and is transported into a vision of a wheat field that opens up to reveal a gleaming futuristic city on the horizon,Tomorrowland (2015),158852,1,Tomorrowland,1,Tomorrowland,0
train,scene,"a nervous young dinosaur and a feral human boy share a quiet night under the stars, each grieving a parent lost to a flash flood that swept them far from home",The Good Dinosaur (2015),105864,3,The Secret of Lost Valley,3,Dinosaur,0
train,scene,"a masked warrior confronts an old smuggler on a narrow bridge above a reactor chasm, and after a tense conversation drives a glowing red blade through his chest",Star Wars: The Force Awakens (2015),140607,,"Zorro, the Avenger",,"Zorro, the Avenger",
train,premise,a small Coast Guard rescue crew sets out in a tiny lifeboat during a brutal nor'easter to save dozens of sailors stranded on an oil tanker that has split in half,The Finest Hours (2016),300673,1,The Finest Hours,1,The Finest Hours,0
train,scene,"a man-cub raised by wolves is serenaded and nearly hypnotized by a giant orange orangutan king who wants the secret of fire, while the ancient temple ruins collapse around them",The Jungle Book (2016),278927,1,The Jungle Book,1,The Jungle Book,0
train,scene,"a giant with enormous ears kidnaps a girl from an orphanage window at night and carries her off to a land of other giants, some of whom want to eat children",The BFG (2016),267935,1,The BFG,1,The BFG,0
train,scene,a cursed prince with fur and horns dances a slow waltz in a candlelit ballroom with a bookish village girl while a chorus of enchanted household objects sings about the moment,Beauty and the Beast (2017),321612,1,Beauty and the Beast,1,Beauty and the Beast,0
train,scene,"a blue-skinned alien with fins sacrifices himself to save a raccoon and his captain, using an arrow to fly them both to safety before dying, and is later honored with a funeral of fireworks in space",Guardians of the Galaxy Vol. 2 (2017),283995,,"Ringo, the Refugee Raccoon",,"Ringo, the Refugee Raccoon",
train,scene,a teenage superhero is pinned under tons of rubble in a collapsed warehouse and has to find the strength to lift the debris off himself alone to escape and stop a weapons dealer,Spider-Man: Homecoming (2017),315635,,LEGO Marvel Avengers: Mission Demolition,,Sky High,
train,scene,"an old Jedi master projects an illusion of himself across the galaxy to face down a masked villain alone on a red salt flat, buying time for the rest of the rebels to escape",Star Wars: The Last Jedi (2017),181808,,Star Wars Rebels: Spark of Rebellion,,Star Wars: Episode III - Revenge of the Sith,
train,scene,a newly crowned king fights his exiled cousin in ritual combat beside a thundering waterfall to determine who will rule an isolated African nation hiding advanced technology,Black Panther (2018),284054,1,Black Panther,1,Black Panther,0
train,premise,a scientist's daughter travels across the universe with three mysterious celestial beings to rescue her father from a disembodied evil brain that has trapped him on another planet,A Wrinkle in Time (2018),407451,1,A Wrinkle in Time,1,A Wrinkle in Time,0
train,scene,"a purple alien warlord snaps his gloved fingers on a barren planet, and heroes across the galaxy start dissolving into dust one by one as half of all life disappears",Avengers: Infinity War (2018),299536,,John Carter,,John Carter,
train,scene,"a young smuggler wins a fast, beat-up cargo ship from a card-playing gambler in a high-stakes game before making a legendary run through a dangerous asteroid-filled channel",Solo: A Star Wars Story (2018),348350,3,The Sky Trap,3,The Sky Trap,0
train,premise,a girl chasing a lost key on Christmas Eve slips into four fantastical realms and discovers a sinister ruler manipulating a growing army of mice to seize control,The Nutcracker and the Four Realms (2018),426543,1,The Nutcracker and the Four Realms,1,The Nutcracker and the Four Realms,0
train,scene,"a magical nanny returns to help a grieving family, and during one sequence the children dive into a painted bathtub scene and end up chased by menacing wolves at an animated music hall",Mary Poppins Returns (2018),400650,2,Mary Poppins,1,Mary Poppins Returns,1
train,scene,a fighter pilot with glowing energy powers relives flashes of every time she was knocked down throughout her life while she powers up to fight off an alien fleet,Captain Marvel (2019),299537,3,Star Wars: The Last Jedi,2,Star Wars: The Last Jedi,1
train,premise,a baby elephant with oversized ears is mocked as a circus freak until a boy discovers that flapping them lets the elephant actually fly,Dumbo (2019),329996,1,Dumbo,1,Dumbo,0
train,scene,"a teenage superhero is tricked by illusions of a giant elemental monster made of fire and water rampaging through a European city, only to discover it's all drone-projected holograms controlled by a man in a fishbowl helmet",Spider-Man: Far From Home (2019),429617,2,Elemental,2,Elemental,0
train,scene,"a lion cub is shown his dead father's body at the bottom of a gorge by his uncle, who convinces him the stampede that killed him was the cub's own fault",The Lion King (2019),420818,1,The Lion King,1,The Lion King,0
train,scene,"a scavenger turned Jedi reflects a torrent of purple lightning back at a cackling emperor using dual lightsabers, drawing on the strength of every Jedi who came before her",Star Wars: The Rise of Skywalker (2019),181812,,Return of the Jedi,,Return of the Jedi,
train,scene,a gorilla who has spent decades in a rundown mall menagerie is given paper and crayons for the first time and starts drawing memories of the jungle he was taken from as a baby,The One and Only Ivan (2020),508570,1,The One and Only Ivan,1,The One and Only Ivan,0
train,scene,"a punk fashion designer with two-toned hair crashes a lavish garden gala in a dress made of trash bags unveiled from the back of a truck, upstaging a cruel fashion icon",Cruella (2021),337404,1,Cruella,1,Cruella,0
train,scene,"a riverboat captain and a scientist are attacked by centuries-old cursed conquistadors covered in jungle vines, bees, and snakes bursting out from beneath their armor",Jungle Cruise (2021),451048,1,Jungle Cruise,1,Jungle Cruise,0
train,scene,a valet quietly hiding his past as a trained assassin reveals his skills when masked attackers try to steal a jade pendant from him on a crowded city bus,Shang-Chi and the Legend of the Ten Rings (2021),566525,,"Zorro, the Avenger",,The Great Mouse Detective,
train,scene,"a grieving witch possesses alternate versions of herself across the multiverse to hunt down a teenager who can travel between universes, and slaughters a council of powerful heroes almost effortlessly",Doctor Strange in the Multiverse of Madness (2022),453395,1,Doctor Strange in the Multiverse of Madness,1,Doctor Strange in the Multiverse of Madness,0
train,scene,two washed-up cartoon chipmunk detectives investigate a bootlegging ring making counterfeit uncanny-looking versions of beloved characters in a world where toons and humans coexist,Chip 'n Dale: Rescue Rangers (2022),420821,2,Way Down Cellar,1,Chip 'n Dale: Rescue Rangers,1
train,premise,"three resurrected witch sisters from centuries ago cause chaos in a modern town on Halloween, including a viral scene wandering confused through the aisles of a drugstore",Hocus Pocus 2 (2022),642885,2,Hocus Pocus,2,Hocus Pocus,0
train,scene,"an underwater kingdom's blue-skinned winged ruler leads an ambush against an African nation on the surface, flooding a lab and abducting a scientist to force them to stop mining a rare metal",Black Panther: Wakanda Forever (2022),505642,3,Black Panther,2,Black Panther,1
train,premise,"a woman who once got her storybook happy ending moves to a new town and makes a desperate wish for a perfect life, accidentally turning the whole neighborhood into a twisted fairy tale",Disenchanted (2022),338958,1,Disenchanted,1,Disenchanted,0
train,premise,three generations of a family of explorers descend into a strange glowing underground world full of giant creatures to find the source of a energy crisis threatening their land,Strange World (2022),877269,1,Strange World,1,Strange World,0
train,scene,"a genetically engineered raccoon's tragic origin is revealed in flashback, showing him being experimentally rebuilt again and again inside cages alongside an otter, a walrus, and a rabbit by a god-complex scientist",Guardians of the Galaxy Vol. 3 (2023),447365,,"Ringo, the Refugee Raccoon",,"Ringo, the Refugee Raccoon",
train,scene,"a mermaid princess trades her voice to a sea witch for legs, and a seagull sidekick has to help translate for her while she tries to win a prince's love without speaking",The Little Mermaid (2023),447277,1,The Little Mermaid,1,The Little Mermaid,0
train,scene,"an aging archaeologist and his goddaughter use a mechanical device built by an ancient Greek mathematician to travel back in time, landing in the middle of an ancient siege",Indiana Jones and the Dial of Destiny (2023),335977,,Flight of the Navigator,,Meet the Robinsons,
train,premise,"a widowed father and his son move into a decaying Louisiana mansion and hire a priest, a historian, and a medium to figure out why the spirits trapped inside can't leave",Haunted Mansion (2023),616747,2,Child of Glass,2,Child of Glass,0
train,scene,three different superheroes who never met keep involuntarily swapping places with each other in the middle of battle whenever any of them use their powers at the same time,The Marvels (2023),609681,,Twice Upon a Time,,Avengers: Doomsday,
train,scene,a teenage girl discovers that the beloved king who collects everyone's wishes has actually been hoarding almost all of them in his tower instead of ever granting them,Wish (2023),1022796,,Tangled,,Tangled,
train,scene,"a new anxious emotion takes over a teenage girl's mind control center during a stressful hockey tryout, spiraling her into a full-blown panic attack on the ice",Inside Out 2 (2024),1022789,1,Inside Out 2,1,Inside Out 2,0
train,premise,a wayfinder assembles a small crew to sail beyond her home reef in search of a legendary lost island after hearing the voices of her ancestors calling her people to reconnect,Moana 2 (2024),1241982,2,Moana,1,Moana 2,1
train,scene,"a orphaned lion cub is swept away by a flood and adopted into a pride, growing up alongside another cub who slowly grows resentful and jealous of his skill and popularity",Mufasa: The Lion King (2024),762509,3,A Tale of Two Critters,2,The Lion King,1
train,premise,a lonely boy obsessed with contacting aliens gets accidentally beamed up and mistaken for Earth's official ambassador to a galactic council of alien leaders,Elio (2025),1022787,2,My Favorite Martian,1,Elio,1
train,scene,"a mother and teenage daughter who keep bickering wake up to find they've swapped bodies overnight, and the daughter now stuck in mom's body has to survive a chaotic waterskiing show",Freaky Friday (1976),16084,2,Freaky Friday,1,Freaky Friday,1
train,premise,"two orphaned kids living with their bumbling uncle find a massive gold nugget in an abandoned mine, drawing the attention of a pair of inept outlaws trying to steal it",The Apple Dumpling Gang (1975),18660,1,The Apple Dumpling Gang,1,The Apple Dumpling Gang,0
train,scene,"two orphaned siblings with telekinetic and telepathic powers are chased through the countryside by a sinister businessman's men, using their abilities to escape and protect each other",Escape to Witch Mountain (1975),14821,1,Escape to Witch Mountain,1,Escape to Witch Mountain,0
train,premise,a man who periodically and uncontrollably turns into a sheepdog runs for district attorney while trying to keep his condition secret from voters and a corrupt construction tycoon,The Shaggy D.A. (1976),15943,1,The Shaggy D.A.,1,The Shaggy D.A.,0
train,scene,"a young con artist poses as a long-lost heir to a crumbling English manor, where the butler impersonates a colonel and several other made-up characters to keep up appearances for visitors",Candleshoe (1977),14612,1,Candleshoe,1,Candleshoe,0
train,premise,a small car with a mind of its own gets used unknowingly to smuggle stolen diamonds during a road rally from Paris to Monte Carlo,Herbie Goes to Monte Carlo (1977),14140,1,Herbie Goes to Monte Carlo,1,Herbie Goes to Monte Carlo,0
train,premise,two telekinetic siblings living quietly in the city are targeted again when a rich businessman hypnotizes one of them into helping him commit robberies,Return from Witch Mountain (1978),14822,1,Return from Witch Mountain,1,Return from Witch Mountain,0
train,premise,an astronaut and his robotic double crash-land a spacecraft in medieval England and get mistaken for sorcerers at King Arthur's court,Unidentified Flying Oddball (1979),65596,1,Unidentified Flying Oddball,1,Unidentified Flying Oddball,0
train,scene,a spinach-loving sailor with oversized forearms gets into a massive brawl with a hulking bully in a ramshackle seaside town called Sweethaven,Popeye (1980),11335,1,Popeye,1,Popeye,0
train,scene,two East German families secretly build a homemade hot air balloon out of scraps of fabric and launch it at night in a desperate attempt to fly over the border,Night Crossing (1982),58995,1,Night Crossing,1,Night Crossing,0
val,premise,a strawberry scented bear runs a daycare like a prison for discarded toys,Toy Story 3 (2010),10193,1,Toy Story 3,1,Toy Story 3,0
val,scene,a little girl receives a box of toys and the college bound boy plays with them one last time,Toy Story 3 (2010),10193,1,Toy Story 3,1,Toy Story 3,0
val,premise,an arrogant racing rookie learns about an older champion while stranded in a forgotten highway town,Cars (2006),920,1,Cars,1,Cars,0
val,scene,a race car gives up his chance at winning to push an injured rival over the finish line,Cars (2006),920,1,Cars,1,Cars,0
val,premise,an aging race car struggles to keep up with a younger generation and works with a trainer who dreamed of racing,Cars 3 (2017),260514,1,Cars 3,1,Cars 3,0
val,scene,the old racer lets his trainer take his place midway through the final race,Cars 3 (2017),260514,1,Cars 3,1,Cars 3,0
val,premise,a young guitarist learns that the famous singer he admires stole songs from someone in his family,Coco (2017),354912,1,Coco,1,Coco,0
val,scene,a boy sings to his elderly great grandmother and she begins remembering her father,Coco (2017),354912,,Almost Angels,,Almost Angels,
val,premise,a young woman made of fire falls for a man made of water while feeling obligated to run her father's shop,Elemental (2023),976573,1,Elemental,1,Elemental,0
val,scene,a water man appears to evaporate in a hot room and is brought back when the fire girl makes his family cry,Elemental (2023),976573,1,Elemental,1,Elemental,0
val,premise,an arcade villain befriends a glitching girl who wants to compete in a candy racing game,Wreck-It Ralph (2012),82690,1,Wreck-It Ralph,1,Wreck-It Ralph,0
val,scene,a huge arcade character smashes the little girl's homemade race car because he thinks he is protecting her,Wreck-It Ralph (2012),82690,2,The BFG,1,Wreck-It Ralph,1
val,premise,the only ordinary child in a gifted family investigates cracks in their enchanted home,Encanto (2021),568124,1,Encanto,1,Encanto,0
val,scene,the super strong sister sings about feeling crushed by everyone else's expectations,Encanto (2021),568124,,Frozen,,Frozen,
val,premise,a ruler must trust the villager whose home he wanted demolished after his adviser poisons him,The Emperor's New Groove (2000),11688,1,The Emperor's New Groove,1,The Emperor's New Groove,0
val,scene,a villain and her assistant pull the wrong lever and fall through a trapdoor,The Emperor's New Groove (2000),11688,,Blackbeard's Ghost,,The Great Mouse Detective,
val,premise,an ex prisoner is recruited by an inventor to steal a dangerous shrinking technology,Ant-Man (2015),102899,2,"Honey, I Blew Up the Kid",1,Ant-Man,1
val,scene,two tiny fighters battle on a toy train set where the train looks huge only from their perspective,Ant-Man (2015),102899,,Toy Story at 20: To Infinity and Beyond,,Toy Story 2,
val,premise,a pampered cocker spaniel falls for a streetwise stray dog in the city,Lady and the Tramp (1955),10340,2,Lady and the Tramp,2,Lady and the Tramp,0
val,scene,two dogs share one strand of spaghetti at an italian restaurant until their noses meet in a kiss,Lady and the Tramp (1955),10340,3,The Legend of Two Gypsy Dogs,3,The Legend of Two Gypsy Dogs,0
val,premise,a man raised by gorillas in the jungle meets human explorers for the first time and must choose between two worlds,Tarzan (1999),37135,2,George of the Jungle,2,George of the Jungle,0
val,scene,"a man raised by apes surfs through the jungle canopy on branches and vines, gliding past waterfalls with gorillas",Tarzan (1999),37135,2,George of the Jungle,3,George of the Jungle,-1
val,premise,a hotshot lawyer is sentenced to community service coaching a ragtag youth hockey team and turns them into winners,The Mighty Ducks (1992),10414,1,The Mighty Ducks,1,The Mighty Ducks,0
val,scene,a ragtag pee-wee hockey team does the flying v formation to skate past their opponents and score the winning goal,The Mighty Ducks (1992),10414,1,The Mighty Ducks,1,The Mighty Ducks,0
val,scene,a farm boy watches twin suns set on a desert planet dreaming of adventure before his aunt and uncle are killed by stormtroopers,Star Wars (1977),11,,Tall Tale: The Unbelievable Adventure,,Tall Tale: The Unbelievable Adventure,
val,scene,a small fighter pilot switches off his targeting computer and uses the force to fire a torpedo into a tiny exhaust port to destroy a space station,Star Wars (1977),11,,Return of the Jedi,,Return of the Jedi,
val,scene,a magical nanny and the children she cares for jump into a sidewalk chalk drawing and go on an animated countryside outing with dancing penguins,Mary Poppins (1964),433,1,Mary Poppins,1,Mary Poppins,0
val,scene,a nanny and a chimney sweep take children dancing across rooftops with a group of soot covered chimney sweeps at sunset,Mary Poppins (1964),433,1,Mary Poppins,1,Mary Poppins,0
val,scene,a princess cursed at birth pricks her finger on a spinning wheel and falls into an enchanted sleep on her sixteenth birthday,Sleeping Beauty (1959),10882,1,Sleeping Beauty,1,Sleeping Beauty,0
val,scene,a prince fights his way through a wall of thorns and slays a witch who has transformed into a giant black dragon,Sleeping Beauty (1959),10882,,The Black Cauldron,,The Black Cauldron,
val,scene,"a rabbit character begs a fox and a bear not to throw him into a briar patch, then reveals from safety that the thorns are exactly where he was born and raised",Song of the South (1946),13850,,Zootopia,,Zootopia,
val,scene,a robot with a single glowing eye duels a taller red military robot with a spinning blade hand aboard a doomed spaceship right before the whole crew is pulled into a black hole,The Black Hole (1979),9570,1,The Black Hole,1,The Black Hole,0
val,scene,"a government biologist sent to study an arctic wolf pack ends up living off field mice to test a theory, and at one point runs naked across the tundra alongside a caribou herd",Never Cry Wolf (1983),14280,1,Never Cry Wolf,1,Never Cry Wolf,0
val,scene,a duck-like alien from another dimension ends up in a rock band in Cleveland and eventually has to fight a tentacled dark overlord with laser beams in a climactic battle,Howard the Duck (1986),10658,1,Howard the Duck,1,Howard the Duck,0
val,scene,"newspaper delivery boys in old New York organize a citywide strike against a powerful publisher, rallying on the street with a big musical number about seizing the day",Newsies (1992),15300,1,Newsies,1,Newsies,0
val,scene,an old sheepdog falls into a muddy pit during a cross-country trek home and a younger golden retriever has to dig frantically to save him before the family gives up hope,Homeward Bound: The Incredible Journey (1993),6878,2,Teacher's Pet,2,Teacher's Pet,0
val,scene,a one-legged ship's cook with a felt hat sings a boastful pirate song to a young cabin boy about all the terrible things a real pirate is supposed to do,Muppet Treasure Island (1996),10874,,Shipwrecked,,Shipwrecked,
val,scene,a fur-obsessed fashion designer crashes a car through the snow chasing a truck full of spotted puppies she's been trying to turn into a coat,101 Dalmatians (1996),11674,1,101 Dalmatians,1,101 Dalmatians,0
val,scene,a small yellow-and-white racing Beetle with a mind of its own competes in a NASCAR-style final race against a smug rival driver and pulls off a flip across the finish line,Herbie Fully Loaded (2005),11451,1,Herbie Fully Loaded,1,Herbie Fully Loaded,0
val,scene,the teenage son of two famous superheroes is humiliated at a special school's sorting ceremony when he's placed in the sidekick track instead of the hero track because his powers haven't appeared yet,Sky High (2005),11459,1,Sky High,1,Sky High,0
val,scene,"a team of sled dogs is left chained and abandoned in the Antarctic when the humans have to evacuate, and they break free to survive on their own for months hunting and fighting",Eight Below (2006),9036,1,Eight Below,1,Eight Below,0
val,premise,a mall Santa turned actual Santa Claus has to stop a mischievous personification of winter weather from freezing over the North Pole and taking his job,The Santa Clause 3: The Escape Clause (2006),13767,1,The Santa Clause 3: The Escape Clause,1,The Santa Clause 3: The Escape Clause,0
val,scene,a crew flips their ship completely upside down at the edge of the world at sunrise in order to sail back from a ghostly locker realm to the living world,Pirates of the Caribbean: At World's End (2007),285,2,The Black Hole,2,The Black Hole,0
val,scene,a treasure hunter and his crew sneak the President of the United States out of a historic estate into a hidden room to find a clue etched somewhere on the resolute desk,National Treasure: Book of Secrets (2007),6637,2,National Treasure,2,National Treasure,0
val,scene,"a prince discovers a dagger that can briefly rewind time by draining sand from an hourglass handle, and uses it to undo his uncle's betrayal in the final act",Prince of Persia: The Sands of Time (2010),9543,1,Prince of Persia: The Sands of Time,1,Prince of Persia: The Sands of Time,0
val,scene,a champion racehorse's jockey holds him back for most of a race before letting him surge thirty lengths ahead of the field to complete a historic sweep of three major races,Secretariat (2010),39486,,Born to Run,,Born to Run,
val,scene,a Civil War veteran is mysteriously transported to a red desert planet where the lower gravity lets him leap enormous distances and fight off multi-armed green warriors,John Carter (2012),49529,1,John Carter,1,John Carter,0
val,scene,a girl in a ball gown runs down a grand staircase leaving one glass slipper behind in a puddle of tar that a baker's wife poured on the steps to trap her,Into the Woods (2014),224141,2,Cinderella,2,Cinderella,0
val,premise,"a wild boy who has lived alone in the forest for years with a shaggy green dragon is found by a forest ranger's daughter, and hunters try to capture the dragon",Pete's Dragon (2016),294272,1,Pete's Dragon,1,Pete's Dragon,0
val,scene,"an armored inventor snaps his own gauntleted fingers on a battlefield, sacrificing himself to wipe out an entire invading army and reverse the damage done to the universe",Avengers: Endgame (2019),299534,,Iron Man 2,,Iron Man 2,
